"EAN","BEZEICHNUNG","KATEGORIE","EKPREIS"
"0-666-4567-2-22","Autoschampoo","Pflege",35
"0-777-4997-2-43","Glanzpolitur","Pflege",70
"0-456-4887-3-22","Kaltwachs","Pflege",90
"0-55-48567-16-2","Armaturenreiniger","Pflege",115
"1-626-7767-2-99","Scheibenwischer","Ersatz",390
"1-256-7700-2-00","Sportlenkrad","Ersatz",1300
"1-333-7788-2-31","Gaspedal","Ersatz",800
"2-446-7240-9-15","Rennsitz","Ersatz",18900
"9-396-7510-9-00","Chromfelge","Ersatz",9000
"3-211-1000-2-00","Sonnenschutz","Ersatz",160
"7-2881-760-3-70","Schraubantenne","Audio",965
"5-2671-955-5-55","Autoradio","Audio",5555
"1-4444-652-8-88","CD-Wechsler","Audio",2345
"3-1111-654-3-99","Lautsprecher","Audio",999
"6-581-1766-3-45","Telefonhalter","Sonstiges",130
"6-231-4777-3-15","Lenkradueberzug","Sonstiges",125
"4-1161-730-3-88","Warndreieck","Sonstiges",350
"0-4381-880-7-00","Verbandskasten","Sonstiges",965
"5-6661-000-0-00","Abschleppseil","Sonstiges",225
