"STUDENTID","COURSECODE","GRADE"
"9978653",8,1
"9978653",9,2
"9978653",10,4
"9978653",13,3
"0034534",1,1
"5489007",1,2
"5489007",11,2
"5489007",12,4
"0299123",7,1
"0299123",6,5
"0178543",10,2
"7813037",1,5
"9954632",2,2
"9954632",3,3
"9954632",5,1
"9755785",4,4
"9755785",1,1
"9856564",2,4
"9876542",9,3
"9876542",10,2
"9800745",11,2
"9800745",3,1
"9900965",10,2
"9900965",11,3
"9900965",12,4
"9955432",2,1
"7732123",6,1
"7732123",13,2
"0023132",8,1
"0023132",9,1
"0023132",10,2
"0199054",13,5
"0203032",12,3
"0203032",5,3
"0278321",1,2
"0278321",11,3
"9722543",1,2
"9677432",10,1
