"PNUM","PNAME","PCITY","DNUM"
"P001","Springton Hospital","Springton","D004"
"P002","Springton Fire Dept","Springton","D004"
"P003","Summerton Expo 2002","Summerton","D003"
"P004","Watervale Show","Watervale","D003"
"P005","Adelaide Festival","Adelaide","D003"
"P006","Ashes Tour Promo","Cookfield","D004"
"P007","Opera House","Cookfield","D004"
"P008","Cookfield High Gym","Cookfield","D004"
"P009","Summerton Hospital","Summerton","D004"
"P010","Watervale Ambulance","Watervale","D004"
"P011","Medici","Springton","D004"
"P012","Springton Show","Springton","D003"
