"FILNR","EAN","VKPREIS","PREISRED","BESTAND"
6,"3-211-1000-2-00",20,0,20
1,"0-666-4567-2-22",69.9,0,100
1,"0-777-4997-2-43",120,30,150
1,"0-456-4887-3-22",229,9.0,130
1,"0-55-48567-16-2",300,0,100
1,"1-626-7767-2-99",420, 10.1,100
1,"1-256-7700-2-00",1999,0,30
1,"1-333-7788-2-31",999,0,30
1,"2-446-7240-9-15",22500,0,7
1,"9-396-7510-9-00",13000,1000,15
1,"7-2881-760-3-70",1500,0,23
1,"5-2671-955-5-55",7000,0,12
1,"1-4444-652-8-88",4500,0,4
1,"3-1111-654-3-99",1700,0,7
1,"6-581-1766-3-45",200,0,40
1,"6-231-4777-3-15",500,0,35
1,"4-1161-730-3-88",500,0,25
1,"0-4381-880-7-00",1250,250,85
1,"5-6661-000-0-00",450,0,11
2,"0-666-4567-2-22",69,9.0,90
2,"0-777-4997-2-43",125,0,155
2,"0-456-4887-3-22",200,9.0,120
2,"0-55-48567-16-2",390,0,100
2,"1-626-7767-2-99",400,0,110
2,"1-256-7700-2-00",1900,0,40
2,"2-446-7240-9-15",21999,0,0
2,"9-396-7510-9-00",14000,0,25
2,"7-2881-760-3-70",1300,0,9
2,"5-2671-955-5-55",6800,250,9
2,"1-4444-652-8-88",4000,0,3
2,"3-1111-654-3-99",1500,125,1
2,"6-581-1766-3-45",230,0,44
2,"6-231-4777-3-15",530,0,0
2,"4-1161-730-3-88",500,11,8
2,"0-4381-880-7-00",1220,0,5
2,"5-6661-000-0-00",400,0,1
3,"0-666-4567-2-22",90,0,85
3,"0-456-4887-3-22",199,0,80
3,"0-55-48567-16-2",390,0,90
3,"1-626-7767-2-99",400,0,50
3,"1-256-7700-2-00",1900,0,10
3,"9-396-7510-9-00",13800,0,5
3,"7-2881-760-3-70",1300,0,0
3,"5-2671-955-5-55",6800,0,0
3,"1-4444-652-8-88",3999,0,0
3,"6-581-1766-3-45",230,0,14
3,"6-231-4777-3-15",530,0,4
3,"0-4381-880-7-00",1211,0,4
3,"5-6661-000-0-00",380,0,4
4,"2-446-7240-9-15",22480,0,6
4,"9-396-7510-9-00",12900,0,2
4,"7-2881-760-3-70",1300,111,5
4,"5-2671-955-5-55",6900,0,34
4,"1-4444-652-8-88",4490,0,5
4,"3-1111-654-3-99",1600,0,7
4,"6-581-1766-3-45",200,20,9
5,"0-666-4567-2-22",80,5,0
5,"0-777-4997-2-43",160,0,150
5,"0-456-4887-3-22",250,0,130
5,"0-55-48567-16-2",330,0,108
5,"6-231-4777-3-15",525,25,12
5,"4-1161-730-3-88",510,0,66
5,"0-4381-880-7-00",1425,125,2
5,"5-6661-000-0-00",500,0,3
6,"0-666-4567-2-22",70,11,100
6,"0-777-4997-2-43",95,0,0
6,"1-626-7767-2-99",380,25,100
6,"1-256-7700-2-00",2109,0,0
6,"1-333-7788-2-31",960,0,9
6,"9-396-7510-9-00",11500,0,15
6,"7-2881-760-3-70",1420,120,23
6,"5-2671-955-5-55",6800,0,12
6,"1-4444-652-8-88",4225,0,8
6,"3-1111-654-3-99",1300,0,7
6,"0-4381-880-7-00",1350,0,25
6,"5-6661-000-0-00",553,23,11
