"RECORDID","TNUMBER","TITLE","LENGTH"
1,1,"Mein 1.-schoenstes Lied",182
1,2,"Mein 2.-schoenstes Lied",143
1,3,"Mein 3.-schoenstes Lied",205
1,4,"Mein 4.-schoenstes Lied",199
2,1,"Mein 5.-schoenstes Lied",176
2,2,"Mein 6.-schoenstes Lied",177
2,3,"Mein 7.-schoenstes Lied",178
2,4,"Mein 8.-schoenstes Lied",179
2,5,"Mein 9.-schoenstes Lied",209
3,1,"Noch ein schoenes Lied - Disco Version",180
3,2,"Noch ein schoenes Lied - Extended Version",190
4,1,"Der blaue Bach",192
4,2,"Der gruene Bach",209
4,3,"Der weisse Bach",170
4,4,"Der andere blaue Bach",206
4,5,"Der zweite gruene Bach",190
4,6,"Der dritte gruene Bach",220
5,1,"Die Buche",190
5,2,"Die Eiche",200
5,3,"Die Tanne",210
5,4,"Die Fichte",220
5,5,"Der Kirschbaum",230
5,6,"Die Linde",240
5,7,"Die Birke",220
5,8,"Die Kiefer",208
6,1,"Die Wiese - Vocal",270
6,2,"Die Wiese - Instrumental",270
7,1,"Das Feld - Vocal",170
7,2,"Das Feld - Instrumental",173
8,1,"Martins Ruebenacker",194
8,2,"Kurts Maisacker",234
8,3,"Lisas Getreideacker",210
8,4,"Marias Gemuesefeld",195
9,1,"Graz-Jodler",250
10,1,"Innsbruck-Joder",184
10,2,"Kitzbuehel-Joder",191
11,1,"Bregenz-Jodler",301
12,1,"Grinzing-Jodler",140
13,1,"St.-Johann-Jodler",262
13,2,"Zell-am-See-Jodler",213
14,1,"Klagenfurt-Jodler",200
14,2,"Villach-Jodler",211
15,1,"Colosseo",240
15,2,"Vaticano",253
15,3,"Fontana di Trevi",187
15,4,"Piazza di Spagna",210
16,1,"Ponte di Rialto",182
16,2,"San Marco",194
17,1,"Luigi",240
17,2,"Alessandra",253
17,3,"Antonio",187
17,4,"Gianna",199
17,5,"Adriano",177
17,6,"Nicoletta",310
